language,adapted-concept-num,concept-number,composite-score,leipzig-jakarta-concept,concept-original-reference,IPA,page_num
hub,86,84,0.699,dog,perro,yawa/yawan,p196
jiv,86,84,0.699,dog,perro,yawa aishmank,p522
acu,86,84,0.699,dog,perro,"yawáa, tangkú yawáa. ",
agr,87,87,0.698,to cry/weep,"cry, weep",buutut,
agr,87,87,0.698,to cry/weep,"cry, weep",buut-bau,
hub,87,87,0.698,to cry/weep,llorar,uutasa/uutmau/uutat,p182
jiv,87,87,0.698,to cry/weep,llorar,uttin,p422
acu,87,87,0.698,to cry/weep,llorar,júutin,
agr,88,88,0.697,to tie,"tie, bind",higkat,
hub,88,88,0.697,to tie,amarrar,jigkatsa/jigkamu/jigkat,p133
hub,88,88,0.697,to tie,atar,ikaktasa/ikamu/ikat,p137
jiv,88,88,0.697,to tie,atar/amarrar,jinkiatin,p78
jiv,88,88,0.697,to tie,atar,ajirtin,p78
jiv,88,88,0.697,to tie,amarrar,kankaartin,p53
acu,88,88,0.697,to tie,atar/amarrar,"ingkiátin, jíniuktin ",
agr,89,89,0.695,to see,see,wainat,
hub,89,89,0.695,to see,ver,iistasa/iiamu/iit,p219
hub,89,89,0.695,to see,ver,wainkatsa/wainkamu/wainat,p219
jiv,89,89,0.695,to see,ver,lis/listin,p656
acu,89,89,0.695,to see,ver,"jíistin, wáinkatin. ",
agr,90,89,0.695,sweet,sweet, yuminc̷ak,
hub,90,89,0.695,sweet,dulce,yumin,p161
jiv,90,89,0.695,sweet,dulce,yumin/yumintaku,p239
acu,90,89,0.695,sweet,dulce,yumín,
agr,91,91,0.694,rope,"rope, cord",wa'sakɨa,
hub,91,91,0.694,rope,soga,naek/naekan,p211
jiv,91,91,0.694,rope,soga,yarank kaanpuram,p599
jiv,91,91,0.694,rope,soga,chapik,p599
acu,91,91,0.694,rope,,,p497
agr,92,91,0.694,shade/shadow,"shade, shadow",bikintu,
hub,92,91,0.694,shade/shadow,sombra,ejet/ejetan,p211
hub,92,91,0.694,shade/shadow,sombra,mikintru/mikintrun,p211
jiv,92,91,0.694,shade/shadow,sombra,kirit,p601
jiv,92,91,0.694,shade/shadow,sombra,kashi tee,p601
jiv,92,91,0.694,shade/shadow,sombra,mikintiar,p601
acu,92,91,0.694,shade/shadow,sombra,"míkin, míkint. ",
agr,93,91,0.694,bird,bird,'pišak,
hub,93,91,0.694,bird,ave,kuntin/kuntinan,p138
hub,93,91,0.694,bird,ave,nanamtin/nanamtinam,p138
jiv,93,91,0.694,bird,ave,nanamtin,p86
jiv,93,91,0.694,bird,ave,chinki,p86
acu,93,91,0.694,bird,ave,nanámtin,
agr,94,91,0.694,salt,salt,wɨɨ,
hub,94,91,0.694,salt,sal,wee/ween,p207
jiv,94,91,0.694,salt,sal,kachi,p584
jiv,94,91,0.694,salt,sal,sau,p584
jiv,94,91,0.694,salt,sal,wee,p584
acu,94,91,0.694,salt,salt,wee,
agr,95,91,0.694,small,"small, little",piipič,
hub,95,91,0.694,small,pequeño,shitapach,p196
hub,95,91,0.694,small,pequeño,yairach,p196
jiv,95,91,0.694,small,pequeño,uchich,p520
jiv,95,91,0.694,small,pequeño,ishitiupach,p520
acu,95,91,0.694,small,pequeño,"túupich, trúpich, tiúpich, ",
agr,96,96,0.692,wide,"wide, broad","túumpich, washik, yáirach. ",
hub,96,96,0.692,wide,ancho,wagkaram,p134
jiv,96,96,0.692,wide,ancho,wánkaram,p56
acu,96,96,0.692,wide,ancho,wangkáram,p357
